variable,pearson_with_pf,spearman_with_pf,absolute_spearman
fs_deterministic_nonstationary,-0.9665210840041624,-0.9977801702713951,0.9977801702713951
crr,-0.9548715435157895,-0.9496041515207481,0.9496041515207481
n1_60cs,-0.9587716254262366,-0.9469744873005694,0.9469744873005694
fc_pct,-0.9460454334597612,-0.9438044847159973,0.9438044847159973
z_mid_m,-0.9503865678305825,-0.9414183822650712,0.9414183822650712
csr,-0.5796305604521352,-0.5434746987121083,0.5434746987121083
gw_depth_m,-0.2255631203224561,-0.24634376393793994,0.24634376393793994
