scenario,gradation,year,stationary,nonstationary,delta
extreme,constant,0,0.3719166666666667,0.3751875,0.003270833333333334
extreme,constant,2,0.373125,0.3621875,-0.010937499999999989
extreme,constant,4,0.3724375,0.3685833333333333,-0.0038541666666666585
extreme,constant,6,0.3739166666666667,0.39366666666666666,0.01974999999999999
extreme,constant,8,0.37483333333333335,0.402625,0.02779166666666666
extreme,constant,10,0.3736041666666667,0.3899375,0.01633333333333331
extreme,constant,12,0.3757083333333333,0.37383333333333335,-0.00187499999999996
extreme,constant,14,0.3751875,0.382875,0.007687500000000014
extreme,constant,16,0.37564583333333335,0.4140625,0.038416666666666655
extreme,constant,18,0.37041666666666667,0.42127083333333337,0.0508541666666667
extreme,constant,20,0.37277083333333333,0.4116458333333333,0.03887499999999999
extreme,constant,22,0.37104166666666666,0.39227083333333335,0.021229166666666688
extreme,constant,24,0.3744375,0.4000208333333334,0.025583333333333402
extreme,constant,26,0.3725833333333333,0.43152083333333335,0.05893750000000003
extreme,constant,28,0.37572916666666667,0.44554166666666667,0.0698125
extreme,constant,30,0.3724166666666667,0.547125,0.1747083333333333
extreme,constant,32,0.3739375,0.5184375,0.14450000000000002
extreme,constant,34,0.37133333333333335,0.53825,0.16691666666666666
extreme,constant,36,0.37383333333333335,0.5852916666666667,0.2114583333333333
extreme,constant,38,0.372375,0.59975,0.227375
extreme,constant,40,0.3718125,0.5761666666666667,0.20435416666666673
extreme,constant,42,0.37414583333333334,0.5514375,0.17729166666666668
extreme,constant,44,0.3713125,0.5703958333333333,0.19908333333333333
extreme,constant,46,0.37195833333333334,0.6095833333333334,0.23762500000000003
extreme,constant,48,0.37514583333333335,0.6128333333333333,0.2376875
extreme,constant,50,0.3734791666666667,0.6014999999999999,0.22802083333333323
extreme,fines_accumulation,0,0.3753958333333333,0.3720625,-0.0033333333333332993
extreme,fines_accumulation,2,0.37333333333333335,0.3574583333333333,-0.015875000000000028
extreme,fines_accumulation,4,0.37416666666666665,0.3621875,-0.011979166666666652
extreme,fines_accumulation,6,0.3697083333333333,0.3868333333333333,0.017125
extreme,fines_accumulation,8,0.3714791666666667,0.39520833333333333,0.023729166666666635
extreme,fines_accumulation,10,0.3721875,0.37504166666666666,0.0028541666666666576
extreme,fines_accumulation,12,0.37585416666666666,0.3579583333333334,-0.017895833333333278
extreme,fines_accumulation,14,0.37129166666666663,0.3587708333333333,-0.012520833333333314
extreme,fines_accumulation,16,0.3756875,0.38706250000000003,0.011375000000000024
extreme,fines_accumulation,18,0.37704166666666666,0.3973541666666667,0.02031250000000001
extreme,fines_accumulation,20,0.3723333333333333,0.37675,0.00441666666666668
extreme,fines_accumulation,22,0.37535416666666666,0.3549791666666667,-0.020374999999999976
extreme,fines_accumulation,24,0.37679166666666664,0.3643125,-0.012479166666666652
extreme,fines_accumulation,26,0.37277083333333333,0.3922083333333333,0.019437499999999996
extreme,fines_accumulation,28,0.3762083333333333,0.3993541666666666,0.02314583333333331
extreme,fines_accumulation,30,0.37333333333333335,0.5133125000000001,0.1399791666666667
extreme,fines_accumulation,32,0.37564583333333335,0.4785625,0.10291666666666666
extreme,fines_accumulation,34,0.37495833333333334,0.49239583333333337,0.11743750000000003
extreme,fines_accumulation,36,0.36916666666666664,0.5419791666666667,0.17281250000000004
extreme,fines_accumulation,38,0.37195833333333334,0.5616458333333333,0.18968749999999995
extreme,fines_accumulation,40,0.3725833333333333,0.5336458333333334,0.16106250000000005
extreme,fines_accumulation,42,0.3751875,0.4983958333333333,0.12320833333333331
extreme,fines_accumulation,44,0.37297916666666664,0.5130416666666667,0.1400625000000001
extreme,fines_accumulation,46,0.37202083333333336,0.5645208333333334,0.1925
extreme,fines_accumulation,48,0.3755208333333333,0.56775,0.19222916666666667
extreme,fines_accumulation,50,0.37322916666666667,0.5514375,0.17820833333333336
extreme,fines_washout,0,0.3741666666666667,0.3730625,-0.0011041666666666838
extreme,fines_washout,2,0.37404166666666666,0.36522916666666666,-0.008812500000000001
extreme,fines_washout,4,0.37202083333333336,0.374375,0.002354166666666657
extreme,fines_washout,6,0.37445833333333334,0.4015208333333333,0.02706249999999999
extreme,fines_washout,8,0.37579166666666663,0.41510416666666666,0.03931250000000003
extreme,fines_washout,10,0.3710625,0.3992291666666667,0.028166666666666673
extreme,fines_washout,12,0.373625,0.38929166666666665,0.015666666666666662
extreme,fines_washout,14,0.37614583333333335,0.4013125,0.02516666666666667
extreme,fines_washout,16,0.3714166666666667,0.428,0.05658333333333332
extreme,fines_washout,18,0.3758958333333333,0.4442083333333333,0.0683125
extreme,fines_washout,20,0.3763958333333333,0.4271875,0.05079166666666668
extreme,fines_washout,22,0.3708333333333333,0.4168541666666667,0.0460208333333334
extreme,fines_washout,24,0.37414583333333334,0.42683333333333334,0.0526875
extreme,fines_washout,26,0.3699791666666667,0.460125,0.09014583333333331
extreme,fines_washout,28,0.3741875,0.4738125,0.09962500000000002
extreme,fines_washout,30,0.37577083333333333,0.5754166666666667,0.19964583333333336
extreme,fines_washout,32,0.3752083333333333,0.5550833333333334,0.17987500000000006
extreme,fines_washout,34,0.37166666666666665,0.5706458333333333,0.19897916666666665
extreme,fines_washout,36,0.3712708333333333,0.6149166666666667,0.24364583333333334
extreme,fines_washout,38,0.37274999999999997,0.628875,0.256125
extreme,fines_washout,40,0.3726666666666667,0.6112083333333334,0.23854166666666665
extreme,fines_washout,42,0.3726041666666666,0.589375,0.21677083333333336
extreme,fines_washout,44,0.3763125,0.6042291666666667,0.2279166666666667
extreme,fines_washout,46,0.3750208333333333,0.6424166666666666,0.26739583333333333
extreme,fines_washout,48,0.3735625,0.6501458333333333,0.2765833333333333
extreme,fines_washout,50,0.37314583333333334,0.6367708333333333,0.26362499999999994
